Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #1
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #3
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #5
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #7
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #9
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #11
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #13
Type: 1 GetPower 11 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0xb', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xf4']), dec([165, 91, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 244]) #15
Type: 1 ARC 20 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x14', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xeb']), dec([165, 91, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 235]) #17
Type: 1 GetARC 21 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x1', '0x15', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xea']), dec([165, 91, 1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 234]) #19
Type: 8 Beep 12 [0, 0, 0, 0, 0, 0, 0, 0] hex(['0xa5', '0x5b', '0x8', '0xc', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0x0', '0xec']), dec([165, 91, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 236]) #21
